Campaign Name,Tags,Subject,List,Send Time,Send Weekday,Unique Placed Order,Placed Order Rate,Revenue,Unique Opens,Open Rate,Total Opens,Unique Clicks,Click Rate,Total Clicks,Unsubscribes,Spam Complaints,Spam Complaints Rate,Successful Deliveries,Bounces,Bounce Rate,Campaign ID,Campaign Channel,Client ID,Client Name
MM | 20260522 | 30D ENGAGED | MILK THISTLE INGREDIENT (VALUE PROP),,the ingredient studied since the 1960s,MM | 30D ENGAGED,2026-05-22 20:45:00,Friday,1,0.08%,108.96,530,43.66%,646,3,0.25%,3,10,0,0.00%,1214,1,0.08%,01KRVN2X5VKV7NQM3NW38GADC4,Email,7,Oxyfuel
MM | 20260523 | 30D ENGAGED NO PURCHASE | What week 1 really feels like (Value prop),,what week 1 of Oxyfuel would actually feel like,MM | 30D ENGAGED / NO PURCHASE,2026-05-23 22:00:00,Saturday,4,0.32%,231.27,668,54.05%,752,4,0.32%,5,9,0,0.00%,1236,0,0.00%,01KRVPVPKJJ0AMD4FKNFW73RS9,Email,7,Oxyfuel
MM | 20260525 | 30D ENGAGED | MEMORIAL DAY,,Celebrate Health This Memorial Day!,MM | 90D ENGAGED,2026-05-25 22:00:00,Monday,0,0.00%,0,8,15.69%,9,0,0.00%,0,0,0,0.00%,51,3,5.56%,01KRVNC578Z6AD4V66JBDAW10B,Email,7,Oxyfuel
Email 1,,LAST REMINDER TO CLAIM: Account Balance: $17.89,MM | FULL LIST,2026-05-20 6:47:00,Wednesday,22,1.34%,1816.81,592,36.10%,855,63,3.84%,71,13,0,0.00%,1640,12,0.73%,01KRXKVANSDC7RQW4ZQ2GYXX8P,Email,4,CanineDrops
MM | 20260520 | FULL LIST | Fear informational Image based email,,"{{ first_name }}, the 6 signs most owners miss..",MM | FULL LIST,2026-05-20 21:15:00,Wednesday,6,0.30%,496.86,506,25.70%,680,35,1.78%,45,32,0,0.00%,1969,7,0.35%,01KS06MTHNE1NCWNTXS3KXXCH0,Email,4,CanineDrops
MM | 20260522 | FULL LIST | Meet the founder,,11 years. 9000 dogs and the patients that I couldn't save in 2015,MM | FULL LIST,2026-05-22 18:45:00,Friday,10,0.52%,822.16,412,21.31%,563,20,1.03%,35,17,3,0.15%,1933,9,0.46%,01KS07J34KJ5Z32Y8MP0XRWZ77,Email,4,CanineDrops
MM | 20260524 | 30D ENGAGED | TESTIMONIAL BASED,,Stories like these are the reason why we exist...,MM | FULL LIST,2026-05-25 6:45:00,Monday,4,0.22%,407.06,291,15.79%,351,17,0.92%,20,23,0,0.00%,1843,0,0.00%,01KS28G46ZT5EZQRJS1XVQWXCC,Email,4,CanineDrops
Email 1,,DON'T MISS OUT ON YOUR CREDIT: Account Balance: $17.89,"MM | Email List, MM | FULL LIST",2026-05-25 21:18:00,Monday,0,0.00%,0,109,26.85%,141,4,0.98%,4,0,0,0.00%,406,1,0.25%,01KS569QT6PVRJQK83NN1W31NY,Email,4,CanineDrops
Email 1,,LAST REMINDER TO CLAIM: Account Balance: $17.89,MM | FULL LIST,2026-05-19 15:45:00,Tuesday,37,1.40%,1935.93,1238,46.70%,1827,93,3.51%,108,23,2,0.07%,2651,18,0.67%,01KRXKVAZ94CSEA0P5NPCKST4Z,Email,6,Nuvary
MM | 20260519 | FULL LIST | EDUCATIONAL / USE FIRST ORDER CODE,,Say goodbye to Herpes forever 💙,MM | FULL LIST,2026-05-21 12:30:00,Thursday,19,0.70%,933.84,1044,38.23%,1369,51,1.87%,60,29,0,0.00%,2731,14,0.51%,01KRZGQ361PW6C1JQXR9J5JE23,Email,6,Nuvary
MM | 20260523 | Recently Placed Order | Refund On Us!,,Your next order will be on US! 🎁,MM | Recently Placed Order,2026-05-23 6:18:00,Saturday,8,0.38%,529.35,895,42.02%,1280,48,2.25%,53,15,0,0.00%,2130,9,0.42%,01KS53R32G6AFG9HH5948APT16,Email,6,Nuvary
MM | 20260523 | FULL LIST | EDUCATIONAL / INGREDIENT LIST,,[MULTIPLE VARIATIONS],MM | FULL LIST,2026-05-23 15:45:00,Saturday,3,0.11%,70.68,896,34.30%,1120,14,0.54%,17,13,0,0.00%,2612,8,0.30%,01KRZKPKGXPW5Z3Z3CWZHDW692,Email,6,Nuvary
MM | 20260525 | 30D ENGAGED | Founder's Voice Testimonial (Text-based),,[MULTIPLE VARIATIONS],MM | 30D ENGAGED,2026-05-25 15:48:00,Monday,0,0.00%,0,5,35.71%,7,0,0.00%,0,0,0,0.00%,14,0,0.00%,01KRZSSH891SF73V7ZJFVA7EF1,Email,6,Nuvary
MM | 20260506 | 30D ENGAGED | Founder's note,,God told me to do this...,MM | 30D ENGAGED,2026-05-07 7:00:00,Thursday,5,0.14%,412.91,1211,33.94%,1531,37,1.04%,43,28,6,0.17%,3568,30,0.83%,01KQVD19WYF6VMB83TM5HSTCTR,Email,5,Moments With Him
Email 1,,LAST REMINDER TO CLAIM: Account Balance: $12.48,MM | 30D ENGAGED,2026-05-10 6:45:00,Sunday,3,0.10%,209.16,1218,38.75%,1563,34,1.08%,37,26,1,0.03%,3143,6,0.19%,01KR3H2V958C05EKKDTC2EF1AE,Email,5,Moments With Him
MM | 20260512 | 14D ENGAGED | The bibe says seek first his kingdom,,"The Bible says ""Seek first His kingdom..."" — are you?",MM | 30D ENGAGED,2026-05-13 7:00:00,Wednesday,5,0.12%,280.84,1121,27.02%,1452,33,0.80%,37,37,0,0.00%,4149,4,0.10%,01KRDSE8QZPY1ZQ440FP86332W,Email,5,Moments With Him
MM | 20260517 | FULL LIST |  A small gift to get you closer to Him,,A small gift to get you closer to Him 🤍,MM | 30D ENGAGED,2026-05-18 6:45:00,Monday,4,0.10%,264.53,950,23.42%,1201,16,0.39%,21,30,0,0.00%,4057,14,0.34%,01KRTRCHKRNES86BEYC19RPQC6,Email,5,Moments With Him
MM | 20260517 | 60D ENGAGED | Women's Testimonials,,Words from busy Christian women that want to get closer to God,MM | 60D ENGAGED,2026-05-19 5:45:00,Tuesday,2,0.04%,112.53,809,16.23%,1007,8,0.16%,8,27,3,0.06%,4984,10,0.20%,01KRTTVXEPWF33KC061T37M3DG,Email,5,Moments With Him
MM | 20260520 | 60D ENGAGED | Faith you can touch (Necklace sell),,Something small you can carry into every room,MM | 60D ENGAGED,2026-05-21 5:45:00,Thursday,0,0.00%,0,1102,21.01%,1349,13,0.25%,18,28,0,0.00%,5246,2,0.04%,01KRTWVC8ZGFCVR3BHG2T4ZWJP,Email,5,Moments With Him
MM | 20260521 | 30D ENGAGED | Founder's note,,you're not failing {{ first_name }}...!,MM | 30D ENGAGED,2026-05-22 6:15:00,Friday,2,0.04%,116.8,1223,22.71%,1548,16,0.30%,18,29,0,0.00%,5384,46,0.85%,01KRTXM2GYNHFDCXWD8YTTD9M0,Email,5,Moments With Him
Email 1,,LAST CHANCE TO CLAIM IN MAY: Account Balance: $12.48,MM | 30D ENGAGED / NO PURCHASE,2026-05-23 6:45:00,Saturday,1,0.06%,49.3,317,18.69%,380,3,0.18%,3,8,0,0.00%,1696,2,0.12%,01KRTZ7TNJWDNG0QZXQYCNPWBA,Email,5,Moments With Him
MM | 20260524 | 60D ENGAGED | IMAGE-BASED THE DAY SPIRIT FELL,,Today is Pentecost. here's what we wrote about it.,MM | 60D ENGAGED,2026-05-25 7:00:00,Monday,1,0.02%,94.83,590,12.87%,672,8,0.17%,9,7,0,0.00%,4585,12,0.26%,01KRTYRPM699B4X8F61CTRBTV6,Email,5,Moments With Him
MM | 20260523 | 30D ENGAGED NO PURCHASE | Follow up to Founder's note,,she wrote back...,MM | 30D ENGAGED NON-OPENERS,2026-05-26 6:30:00,Tuesday,0,0.00%,0,1,100.00%,1,0,0.00%,0,0,0,0.00%,1,0,0.00%,01KRV1AM4JSRK5A5BQTXKCQSWZ,Email,5,Moments With Him
Email 1,,LAST REMINDER TO CLAIM: Account Balance: $17.89,Engaged (60 Days),2026-05-09 23:00:00,Saturday,0,0.00%,0,178,35.04%,253,8,1.57%,8,7,0,0.00%,508,8,1.55%,01KR3H2VG9BGEHR33MJG1MJ05J,Email,3,SteadFast
Email 1,,I've been called to houses where there was a CO detector on the wall.,Engaged (90 Days),2026-05-13 22:15:00,Wednesday,0,0.00%,0,181,20.76%,242,4,0.46%,5,4,0,0.00%,872,5,0.57%,01KRDMPN1RBR78DKWJDSFDNBKQ,Email,3,SteadFast
MM | 20260518 | 30D NO PURCHASE | 50PPM Educational/Us.vs Them.,,[MULTIPLE VARIATIONS],Engaged (60 Days),2026-05-18 22:30:00,Monday,0,0.00%,0,372,21.95%,494,15,0.89%,16,16,0,0.00%,1695,3,0.18%,01KRWPTRDKHKDB4EHWRKJJA1D9,Email,3,SteadFast
MM | 20260520 | 30D NO PURCHASE | 50PPM Educational/Us.vs Them. NEW USERS ONLY,,Your detector waits for 50 ppm. A child's body doesn't.,MM | 30D ENGAGED NO PURCHASE,2026-05-20 21:45:00,Wednesday,0,0.00%,0,176,14.22%,215,8,0.65%,8,7,0,0.00%,1238,9,0.72%,01KRWTK4GEYR19VK80C98B4ZMC,Email,3,SteadFast
MM | 20260522 | 60D ENGAGED UK ONLY | (TEXT-ONLY) Gas Safe Authority/What I Install. UK ONLY,,what i install in my own home...,60D ENGAGED UK ONLY,2026-05-22 22:45:00,Friday,0,0.00%,0,324,22.45%,430,14,0.97%,15,8,1,0.07%,1443,14,0.96%,01KRWXRBAV0ANKZASFJGDS9ZZA,Email,3,SteadFast
MM | 20260524 | 60D ENGAGED | LEADER IN THE MARKET VALUE PROP),,Gas Safe engineers don't trust alarms. They trust numbers.,MM | FULL LIST,2026-05-24 22:15:00,Sunday,0,0.00%,0,416,14.66%,487,8,0.28%,10,12,1,0.03%,2838,15,0.53%,01KRWYD20GGPV9JF09SRP6G78Q,Email,3,SteadFast
